Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,TAMIL NADU,356,SRIPERUMBUDUR,GEN,66.1,RAMACHANDRAN K.N. ,AIADMK
Lok Sabha,2014,UTTAR PRADESH,677,SULTANPUR,GEN,56.64,FEROZE VARUN GANDHI,BJP
Lok Sabha,2014,ORISSA,514,SUNDARGARH,ST,71.65,JUAL ORAM,BJP
Lok Sabha,2014,BIHAR,682,SUPAUL,GEN,63.62,RANJEET RANJAN,INC
Lok Sabha,2014,GUJARAT,488,SURAT,GEN,63.87,JARDOSH DARSHNABEN VIKRAMBHAI,BJP
Lok Sabha,2014,GUJARAT,559,SURENDRANAGAR,GEN,57.02,FATEPARA DEVAJIBHAI GOVINDBHAI,BJP
Lok Sabha,2014,CHHATTISGARH,579,SURGUJA,ST,77.96,KAMALBHAN SINGH MARABI,BJP
Lok Sabha,2014,WEST BENGAL,512,TAMLUK,GEN,87.59,SUVENDU ADHIKARI,AITC
Lok Sabha,2014,UTTARAKHAND,814,TEHRI GARHWAL,GEN,57.38,MALA RAJYA LAXMI SHAH,BJP
Lok Sabha,2014,TAMIL NADU,307,TENKASI,SC,73.65,VASANTHI M.,AIADMK
Lok Sabha,2014,ASSAM,715,TEZPUR,GEN,77.86,RAM PRASAD SHARMA,BJP
Lok Sabha,2014,MAHARASHTRA,446,THANE,GEN,50.84,VICHARE RAJAN BABURAO,SHS
Lok Sabha,2014,TAMIL NADU,323,THANJAVUR,GEN,75.54,PARASURAMAN K,AIADMK
Lok Sabha,2014,TAMIL NADU,313,THENI,GEN,74.63,PARTHIPAN R.,AIADMK
Lok Sabha,2014,KERALA,301,THIRUVANANTHAPURAM,GEN,68.63,DR. SHASHI THAROOR,INC
Lok Sabha,2014,TAMIL NADU,305,THOOTHUKKUDI,GEN,69.95,JEYASINGH THIYAGARAJ NATTERJEE J.,AIADMK
Lok Sabha,2014,KERALA,319,THRISSUR,GEN,72.18,C.N. JAYADEVAN,CPI
Lok Sabha,2014,MADHYA PRADESH,630,TIKAMGARH,SC,50.12,DR. VIRENDRA KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,322,TIRUCHIRAPPALLI,GEN,71.24,P. KUMAR S/O PALANIVEL,AIADMK
