Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,UTTAR PRADESH,703,LUCKNOW,GEN,53.02,RAJNATH SINGH,BJP
Lok Sabha,2014,PUNJAB,807,LUDHIANA,GEN,70.49,RAVNEET SINGH BITTU,INC
Lok Sabha,2014,UTTAR PRADESH,644,MACHHLISHAHR,SC,52.74,RAM CHARITRA NISHAD,BJP
Lok Sabha,2014,ANDHRA PRADESH,392,MACHILIPATNAM,GEN,83.33,KONAKALLA NARAYANA RAO,TDP
Lok Sabha,2014,MAHARASHTRA,425,MADHA,GEN,62.5,MOHITE PATIL VIJAYSINH SHANKARRAO,NCP
Lok Sabha,2014,BIHAR,659,MADHEPURA,GEN,59.97,RAJESH RANJAN ALIAS PAPPU YADAV,RJD
Lok Sabha,2014,BIHAR,689,MADHUBANI,GEN,52.85,HUKUM DEO NARAYAN YADAV,BJP
Lok Sabha,2014,TAMIL NADU,315,MADURAI,GEN,67.87,R. GOPALAKRISHNAN,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,427,MAHABUBABAD,ST,81.04,PROF. AZMEERA SEETARAM NAIK,TRS
Lok Sabha,2014,BIHAR,729,MAHARAJGANJ,GEN,51.48,JANARDHAN SINGH SIGRIWAL,BJP
Lok Sabha,2014,UTTAR PRADESH,729,MAHARAJGANJ,GEN,51.48,PANKAJ CHAUDHARY,BJP
Lok Sabha,2014,CHHATTISGARH,490,MAHASAMUND,GEN,74.63,CHANDU LAL SAHU ALIAS CHANDU BHAIYA S/O LATE PUNEEN RAM,BJP
Lok Sabha,2014,ANDHRA PRADESH,402,MAHBUBNAGAR,GEN,71.53,A.P. JITENDER REDDY,TRS
Lok Sabha,2014,GUJARAT,571,MAHESANA,GEN,67.03,PATEL JAYSHREEBEN KANUBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,728,MAINPURI,GEN,60.45,MULAYAM SINGH YADAV,SP
Lok Sabha,2014,KERALA,330,MALAPPURAM,GEN,71.21,E. AHAMED,IUML
Lok Sabha,2014,WEST BENGAL,614,MALDAHA DAKSHIN,GEN,81.09,ABU HASEM KHAN CHOWDHURY,INC
Lok Sabha,2014,WEST BENGAL,627,MALDAHA UTTAR,GEN,81.59,MAUSAM NOOR,INC
Lok Sabha,2014,ANDHRA PRADESH,415,MALKAJGIRI,GEN,50.9,CH. MALLA REDDY,TDP
Lok Sabha,2014,HIMACHAL PRADESH,822,MANDI,GEN,63.12,RAM SWAROOP SHARMA,BJP
Lok Sabha,2014,MADHYA PRADESH,553,MANDLA,ST,66.79,FAGGAN SINGH KULASTE,BJP
Lok Sabha,2014,MADHYA PRADESH,603,MANDSOUR,GEN,71.4,SUDHIR GUPTA,BJP
Lok Sabha,2014,KARNATAKA,353,MANDYA,GEN,71.45,C.S. PUTTARAJU,JD(S)
Lok Sabha,2014,ASSAM,704,MANGALDOI,GEN,81.37,RAMEN DEKA,BJP
Lok Sabha,2014,UTTAR PRADESH,748,MATHURA,GEN,64.01,DEOL HEMA MALINI DHARMENDRA,BJP
Lok Sabha,2014,WEST BENGAL,3,MATHURAPUR,SC,85,CHOUDHURY MOHAN JATUA,AITC
Lok Sabha,2014,MAHARASHTRA,440,MAVAL,GEN,60.11,BARNE SHRIRANG CHANDU,SHS
Lok Sabha,2014,KERALA,308,MAVELIKKARA,SC,70.97,KODIKKUNNIL SURESH,INC
Lok Sabha,2014,TAMIL NADU,331,MAYILADUTHURAI,GEN,75.95,BHARATHI MOHAN R.K,AIADMK
Lok Sabha,2014,ORISSA,516,MAYURBHANJ,ST,79.35,RAMA CHANDRA HANSDAH,BJD
Lok Sabha,2014,ANDHRA PRADESH,422,MEDAK,GEN,77.51,KALVAKUNTLA CHANDRASHEKAR RAO,TRS
Lok Sabha,2014,WEST BENGAL,523,MEDINIPUR,GEN,84.02,SANDHYA ROY,AITC
Lok Sabha,2014,UTTAR PRADESH,781,MEERUT,GEN,63.1,RAJENDRA AGARWAL,BJP
Lok Sabha,2014,UTTAR PRADESH,615,MIRZAPUR,GEN,58.56,ANUPRIYA SINGH PATEL,Apna Dal
Lok Sabha,2014,UTTAR PRADESH,734,MISRIKH,SC,57.85,ANJU BALA,BJP
Lok Sabha,2014,MIZORAM,589,MIZORAM,ST,61.69,C. L. RUALA,INC
Lok Sabha,2014,UTTAR PRADESH,726,MOHANLALGANJ,SC,60.74,KAUSHAL KISHORE,BJP
Lok Sabha,2014,UTTAR PRADESH,793,MORADABAD,GEN,63.65,KUNWAR SARVESH KUMAR,BJP
Lok Sabha,2014,MADHYA PRADESH,698,MORENA,GEN,50.18,ANOOP MISHRA,BJP
Lok Sabha,2014,MAHARASHTRA,444,MUMBAI NORTH,GEN,53.06,GOPAL CHINAYYA SHETTY,BJP
Lok Sabha,2014,MAHARASHTRA,437,MUMBAI NORTH CENTRAL,GEN,48.61,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,BJP
Lok Sabha,2014,MAHARASHTRA,443,MUMBAI NORTH EAST,GEN,51.65,KIRIT SOMAIYA,BJP
Lok Sabha,2014,MAHARASHTRA,442,MUMBAI NORTH WEST,GEN,50.44,GAJANAN CHANDRAKANT KIRTIKAR,SHS
Lok Sabha,2014,MAHARASHTRA,434,MUMBAI SOUTH,GEN,52.54,SAWANT ARVIND GANPAT,SHS
Lok Sabha,2014,MAHARASHTRA,435,MUMBAI SOUTH CENTRAL,GEN,53.12,RAHUL RAMESH SHEWARE,SHS
Lok Sabha,2014,BIHAR,629,MUNGER,GEN,53.89,VEENA DEVI,LJP
Lok Sabha,2014,WEST BENGAL,585,MURSHIDABAD,GEN,85.16,BADARUDDOZA KHAN,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,791,MUZAFFARNAGAR,GEN,69.72,DR. SANJEEV KUMAR BALIYAN,BJP
Lok Sabha,2014,BIHAR,671,MUZAFFARPUR,GEN,61.16,AJAY NISHAD,BJP
Lok Sabha,2014,KARNATAKA,348,MYSORE,GEN,67.3,PRATHAP SIMHA,BJP
Lok Sabha,2014,ORISSA,461,NABARANGPUR,ST,78.8,BALABHADRA MAJHI,BJD
Lok Sabha,2014,NAGALAND,714,NAGALAND,GEN,87.82,NEIPHIU RIO,NPF
Lok Sabha,2014,TAMIL NADU,324,NAGAPATTINAM,SC,77.83,DR. K. GOPAL,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,400,NAGARKURNOOL,SC,75.07,NANDI YELLAIAH,INC
Lok Sabha,2014,RAJASTHAN,738,NAGAUR,GEN,59.81,C.R. CHOUDHARY,BJP
Lok Sabha,2014,UTTAR PRADESH,794,NAGINA,SC,63.09,YASHWANT SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,480,NAGPUR,GEN,57.08,NITIN JAIRAM GADKARI,BJP
Lok Sabha,2014,UTTARAKHAND,790,NAINITAL-UDHAMSINGH NAGAR,GEN,68.38,BHAGAT SINGH KOSHYARI,BJP
Lok Sabha,2014,BIHAR,624,NALANDA,GEN,47.22,KAUSHLENDRA KUMAR,JD(U)
Lok Sabha,2014,ANDHRA PRADESH,405,NALGONDA,GEN,79.53,GUTHA SUKENDER REDDY,INC
Lok Sabha,2014,TAMIL NADU,336,NAMAKKAL,GEN,79.63,SUNDARAM P.R.,AIADMK
Lok Sabha,2014,MAHARASHTRA,448,NANDED,GEN,60.07,ASHOKRAO SHANKARRAO CHAVAN,INC
Lok Sabha,2014,MAHARASHTRA,501,NANDURBAR,ST,66.76,DR. GAVIT HEENA VAIJAYKUMAR,BJP
Lok Sabha,2014,ANDHRA PRADESH,386,NANDYAL,GEN,76.4,S.P.Y. REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,ANDHRA PRADESH,395,NARASARAOPET,GEN,84.63,RAYAPATI SAMBASIVA RAO,TDP
Lok Sabha,2014,ANDHRA PRADESH,397,NARSAPURAM,GEN,82.18,GOKARAJU GANGA RAJU,BJP
Lok Sabha,2014,MAHARASHTRA,462,NASHIK,GEN,58.84,GODSE HEMENT TUKARAM,SHS
Lok Sabha,2014,GUJARAT,481,NAVSARI,GEN,65.78,CHANDRAKANT RAGHUNATH PATIL,BJP
Lok Sabha,2014,BIHAR,616,NAWADA,GEN,52.78,GIRIRAJ SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,378,NELLORE,GEN,73.94,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,766,NEW DELHI,GEN,65.08,MEENAKSHI LEKHI,BJP
Lok Sabha,2014,TAMIL NADU,337,NILGIRIS,SC,73.52,GOPALAKRISHNAN C.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,436,NIZAMABAD,GEN,69.1,KALVAKUNTLA KAVITHA,TRS
