Type of election,Year,State,Constituency no12,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,UTTAR PRADESH,94,694,BANSGAON,SC,49.88,KAMLESH PASWAN,BJP
Lok Sabha,2014,RAJASTHAN,410,577,BANSWARA,ST,69.2,MANSHANKAR NINAMA,BJP
Lok Sabha,2014,ANDHRA PRADESH,151,388,BAPATLA,SC,85.04,MALYADRI SRIRAM,TDP
Lok Sabha,2014,UTTAR PRADESH,355,725,BARABANKI,SC,62.06,PRIYANKA SINGH RAWAT,BJP
Lok Sabha,2014,MAHARASHTRA,213,429,BARAMATI,GEN,58.81,SUPRIYA SULE,NCP
Lok Sabha,2014,JAMMU & KASHMIR,462,827,BARAMULLA,GEN,39.13,MUZAFFAR HUSSAIN BAIG,JKPDP
Lok Sabha,2014,WEST BENGAL,529,537,BARASAT,GEN,83.91,DR. KAKALI GHOSHDOSTIDAR,AITC
Lok Sabha,2014,WEST BENGAL,446,563,BARDHAMAN PURBA,SC,86.21,SUNIL KUMAR MONDAL,AITC
Lok Sabha,2014,WEST BENGAL,447,28,BARDHAMAN-DURGAPUR,GEN,84.07,MAMTAZ SANGHAMITA,AITC
Lok Sabha,2014,GUJARAT,288,491,BARDOLI,ST,74.73,PARBHUBHAI NAGARBHAI VASAVA,BJP
Lok Sabha,2014,UTTAR PRADESH,521,773,BAREILLY,GEN,61.17,SANTOSH KUMAR GANGWAR,BJP
Lok Sabha,2014,ORISSA,80,502,BARGARH,GEN,78.51,PRABHAS KUMAR SINGH,BJD
Lok Sabha,2014,RAJASTHAN,407,751,BARMER,GEN,72.67,COL. SONARAM CHOUDHARY,BJP
Lok Sabha,2014,ASSAM,164,686,BARPETA,GEN,84.32,SIRAJ UDDIN AJMAL,AIUDF
Lok Sabha,2014,WEST BENGAL,527,540,BARRACKPUR,GEN,81.66,DINESH TRIVEDI,AITC
Lok Sabha,2014,WEST BENGAL,530,535,BASIRHAT,GEN,85.45,IDRIS ALI,AITC
Lok Sabha,2014,CHHATTISGARH,115,456,BASTAR,ST,59.31,DINESH KASHYAP,BJP
Lok Sabha,2014,UTTAR PRADESH,253,719,BASTI,GEN,56.75,HARISH CHANDRA,BJP
Lok Sabha,2014,PUNJAB,388,801,BATHINDA,GEN,77.15,HARSIMRAT KAUR BADAL,SAD
Lok Sabha,2014,MAHARASHTRA,217,450,BEED,GEN,68.74,MUNDE GOPINATHRAO PANDURANG,BJP
Lok Sabha,2014,BIHAR,309,642,BEGUSARAI,GEN,60.6,BHOLA SINGH,BJP
Lok Sabha,2014,KARNATAKA,126,390,BELGAUM,GEN,68.22,SURESH ANGADI,BJP
Lok Sabha,2014,KARNATAKA,132,379,BELLARY,ST,70.28,B. SREERAMULU,BJP
Lok Sabha,2014,ORISSA,88,452,BERHAMPUR,GEN,67.85,SIDHANT MOHAPATRA,BJD
Lok Sabha,2014,MADHYA PRADESH,201,519,BETUL,ST,65.16,JYOTI DHURVE,BJP
Lok Sabha,2014,UTTAR PRADESH,256,634,BHADOHI,GEN,53.5,VIRENDRA SINGH,BJP
Lok Sabha,2014,ORISSA,230,487,BHADRAK,SC,73.59,ARJUN CHARAN SETHI,BJD
Lok Sabha,2014,BIHAR,311,625,BHAGALPUR,GEN,57.79,SHAILESH KUMAR ALIAS BULO MANDAL,RJD
Lok Sabha,2014,MAHARASHTRA,68,493,BHANDARA-GONDIYA,GEN,72.28,NANABHAU FALGUNRAO PATOLE,BJP
Lok Sabha,2014,RAJASTHAN,399,741,BHARATPUR,SC,57.05,BAHADUR SINGH,BJP
Lok Sabha,2014,GUJARAT,287,508,BHARUCH,GEN,74.79,MANSUKHBHAI DHANJIBHAI VASAVA,BJP
Lok Sabha,2014,GUJARAT,280,510,BHAVNAGAR,GEN,57.53,DR. BHARTIBEN DHIRUBHAI SHIYAL,BJP
Lok Sabha,2014,RAJASTHAN,413,653,BHILWARA,GEN,62.92,SUBHASH CHANDRA BAHERIYA,BJP
Lok Sabha,2014,MADHYA PRADESH,316,695,BHIND,SC,45.62,BHAGIRAT PRASAD,BJP
Lok Sabha,2014,MAHARASHTRA,332,453,BHIWANDI,GEN,51.61,KAPIL MORESHWAR PATIL,BJP
Lok Sabha,2014,HARYANA,383,778,BHIWANI-MAHENDRAGARH,GEN,69.91,DHARAMBIR,BJP
Lok Sabha,2014,ANDHRA PRADESH,14,418,BHONGIR,GEN,81.22,DR. NARSAIAH BOORA,TRS
Lok Sabha,2014,MADHYA PRADESH,200,570,BHOPAL,GEN,57.75,ALOK SANJAR,BJP
Lok Sabha,2014,ORISSA,237,467,BHUBANESWAR,GEN,58.37,PRASANNA KUMAR PATASANI,BJD
Lok Sabha,2014,KARNATAKA,130,423,BIDAR,GEN,59.93,BHAGWANT MANN,BJP
Lok Sabha,2014,KARNATAKA,127,408,BIJAPUR,SC,59.58,RAMESH JIGAJINAGI,BJP
Lok Sabha,2014,UTTAR PRADESH,513,792,BIJNOR,GEN,67.88,KUNWAR BHARTENDRA SINGH,BJP
Lok Sabha,2014,RAJASTHAN,392,784,BIKANER,SC,58.44,ARJUN RAM MEGHWAL,BJP
Lok Sabha,2014,CHHATTISGARH,110,527,BILASPUR,GEN,63.13,LAKHANLAL SAHU S/O KALYAN LAL SAHU,BJP
Lok Sabha,2014,WEST BENGAL,450,592,BIRBHUM,GEN,85.33,SATABDI ROY BANERJEE,AITC
Lok Sabha,2014,WEST BENGAL,370,558,BISHNUPUR,SC,86.72,SAUMITRA KHAN,AITC
Lok Sabha,2014,ORISSA,83,479,BOLANGIR,GEN,74.88,KALIKESH NARAYAN SINGH DEO,BJD
Lok Sabha,2014,WEST BENGAL,449,581,BOLPUR,SC,84.81,ANUPAM HAZRA,AITC
Lok Sabha,2014,UTTAR PRADESH,422,770,BULANDSHAHR,SC,58.15,DR. BHOLA SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,62,484,BULDHANA,GEN,61.31,JADHAV PRATAPRAO GANPATRAO,SHS
Lok Sabha,2014,BIHAR,33,639,BUXAR,GEN,54.14,ASHWINI KUMAR CHOUBEY,BJP
Lok Sabha,2014,KERALA,52,317,CHALAKUDY,GEN,76.84,INNOCENT,IND
Lok Sabha,2014,KARNATAKA,302,345,CHAMARAJANAGAR,SC,72.83,R. DHRUVANARAYANA,INC
Lok Sabha,2014,UTTAR PRADESH,102,631,CHANDAULI,GEN,58.75,MAHENDRA NATH PANDEY,BJP
Lok Sabha,2014,CHANDIGARH,542,805,CHANDIGARH,GEN,73.71,KIRRON KHER,BJP
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,451,771,CHANDNI CHOWK,GEN,67.84,DR. HARSH VARDHAN,BJP
Lok Sabha,2014,MAHARASHTRA,70,468,CHANDRAPUR,GEN,63.28,AHIR HANSARAJ GANGARAM,BJP
Lok Sabha,2014,JHARKHAND,117,590,CHATRA,GEN,54.32,SUNIL KUMAR SINGH,BJP
Lok Sabha,2014,TAMIL NADU,476,358,CHENNAI CENTRAL,GEN,61.36,S.R. VIJAY KUMAR,AIADMK
Lok Sabha,2014,TAMIL NADU,474,361,CHENNAI NORTH,GEN,63.99,VENKATESH BABU T.G,AIADMK
Lok Sabha,2014,TAMIL NADU,475,354,CHENNAI SOUTH,GEN,60.21,DR. J. JAYAVARDHAN,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,10,413,CHEVELLA,GEN,60.22,KONDA VISHWESHWAR REDDY,TRS
Lok Sabha,2014,MADHYA PRADESH,197,533,CHHINDWARA,GEN,79.03,KAMAL NATH,INC
Lok Sabha,2014,GUJARAT,286,520,CHHOTA UDAIPUR,ST,71.64,RATHWA RAMSINGBHAI PATALBHAI,BJP
Lok Sabha,2014,TAMIL NADU,499,334,CHIDAMBARAM,SC,79.67,M. CHANDRAKASI,AIADMK
Lok Sabha,2014,KARNATAKA,140,369,CHIKKBALLAPUR,GEN,76.18,M. VEERAPPA MOILY,INC
Lok Sabha,2014,KARNATAKA,125,398,CHIKKODI,GEN,74.26,PRAKASH HUKKERI,INC
Lok Sabha,2014,KARNATAKA,134,375,CHITRADURGA,SC,66,B.N. CHANDRAPPA,INC
Lok Sabha,2014,ANDHRA PRADESH,161,366,CHITTOOR,SC,82.56,NARAMALLI SIVAPRASAD,TDP
Lok Sabha,2014,RAJASTHAN,411,116,CHITTORGARH,GEN,64.5,CHANDRA PRAKASH,BJP
Lok Sabha,2014,RAJASTHAN,393,786,CHURU,GEN,64.49,RAHUL KASWAN,BJP
Lok Sabha,2014,TAMIL NADU,492,328,COIMBATORE,GEN,68.4,NAGARAJAN P.,AIADMK
Lok Sabha,2014,WEST BENGAL,357,680,COOCHBEHAR,SC,82.58,RENUKA SINHA,AITC
Lok Sabha,2014,TAMIL NADU,498,175,CUDDALORE,GEN,78.9,A. ARUNMOZHITHEVAN,AIADMK
Lok Sabha,2014,ORISSA,233,471,CUTTACK,GEN,71.35,BHARTRUHARI MAHATAB,BJD
Lok Sabha,2014,DADRA & NAGAR HAVELI,371,465,DADRA & NAGAR HAVELI,ST,84.06,NATUBHAI G. PATEL,BJP
Lok Sabha,2014,GUJARAT,284,556,DAHOD,ST,63.78,BHABHOR JASVANTSINH SUMANBHAI,BJP
Lok Sabha,2014,KARNATAKA,299,359,DAKSHINA KANNADA,GEN,77.14,NALIN KUMAR KATEEL,BJP
Lok Sabha,2014,DAMAN & DIU,372,170,DAMAN & DIU,GEN,78.01,PATEL LALUBHAI BABUBHAI,BJP
Lok Sabha,2014,MADHYA PRADESH,321,600,DAMOH,GEN,55.24,PRAHLAD SINGH PATEL,BJP
Lok Sabha,2014,BIHAR,180,664,DARBHANGA,GEN,55.39,KIRTI AZAD,BJP
Lok Sabha,2014,WEST BENGAL,360,720,DARJEELING,GEN,79.46,SURENDRAJEET SINGH AHLUWALIA,BJP
Lok Sabha,2014,RAJASTHAN,401,733,DAUSA,ST,61.05,HARISH CHANDRA,BJP
Lok Sabha,2014,KARNATAKA,295,374,DAVANAGERE,GEN,73.22,G.M. SIDDESWARA,BJP
Lok Sabha,2014,UTTAR PRADESH,93,701,DEORIA,GEN,53.77,KALRAJ MISHRA,BJP
Lok Sabha,2014,MADHYA PRADESH,323,575,DEWAS,SC,70.74,MANOHAR UNTWAL,BJP
Lok Sabha,2014,JHARKHAND,261,576,DHANBAD,GEN,60.52,PASHUPATI NATH SINGH,BJP
Lok Sabha,2014,MADHYA PRADESH,327,545,DHAR,ST,64.54,SAVITRI THAKUR,BJP
Lok Sabha,2014,TAMIL NADU,482,346,DHARMAPURI,GEN,81.08,ANBUMANI RAMADOSS,Pattali Makkal Katchi
Lok Sabha,2014,KARNATAKA,294,381,DHARWAD,GEN,65.94,PRALHAD JOSHI,BJP
Lok Sabha,2014,UTTAR PRADESH,525,753,DHAURAHRA,GEN,68.05,REKHA ARUN VERMA,BJP
Lok Sabha,2014,ORISSA,232,494,DHENKANAL,GEN,76.43,TATHAGATA SATPATHY,BJD
Lok Sabha,2014,ASSAM,162,670,DHUBRI,GEN,88.22,BADRUDDIN AJMAL,AIUDF
Lok Sabha,2014,MAHARASHTRA,203,486,DHULE,GEN,58.71,SUBHASH RAMRAO BHAMRE,BJP
Lok Sabha,2014,WEST BENGAL,533,517,DIAMOND HARBOUR,GEN,81.06,ABHISHEK BANERJEE,AITC
Lok Sabha,2014,ASSAM,171,737,DIBRUGARH,GEN,79.25,RAMESHWAR TELI,BJP
Lok Sabha,2014,TAMIL NADU,494,320,DINDIGUL,GEN,77.35,UDHAYA KUMAR .M,AIADMK
Lok Sabha,2014,MAHARASHTRA,208,473,DINDORI,ST,63.4,CHAVAN HARISHCHANDRA DEORAM,BJP
Lok Sabha,2014,UTTAR PRADESH,252,730,DOMARIYAGANJ,GEN,53.08,JAGDAMBIKA PAL,BJP
Lok Sabha,2014,WEST BENGAL,528,531,DUM DUM,GEN,80.56,SAUGATA ROY,AITC
Lok Sabha,2014,JHARKHAND,258,593,DUMKA,ST,72.41,SHIBU SOREN,JMM
Lok Sabha,2014,CHHATTISGARH,112,500,DURG,GEN,67.81,TAMRADWAJ SAHU,INC
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,453,768,EAST DELHI,GEN,65.39,MAHESH GIRI,BJP
Lok Sabha,2014,ANDHRA PRADESH,146,409,ELURU,GEN,84.17,MAGANTI VENKATESWARA RAO (BABU),TDP
Lok Sabha,2014,KERALA,53,316,ERNAKULAM,GEN,73.57,K.V. THOMAS,INC
Lok Sabha,2014,TAMIL NADU,489,332,ERODE,GEN,76.33,SELVAKUMARA CHINNAYAN S,AIADMK
Lok Sabha,2014,UTTAR PRADESH,430,750,ETAH,GEN,58.72,RAJVIR SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,432,700,ETAWAH,SC,55.04,ASHOK KUMAR DOHAREY,BJP
Lok Sabha,2014,UTTAR PRADESH,247,712,FAIZABAD,GEN,58.82,LALLU SINGH,BJP
Lok Sabha,2014,HARYANA,385,759,FARIDABAD,GEN,64.97,KRISHAN PAL,BJP
Lok Sabha,2014,PUNJAB,472,810,FARIDKOT,SC,70.93,PROF. SADHU SINGH,AAP
Lok Sabha,2014,UTTAR PRADESH,431,739,FARRUKHABAD,GEN,60.15,MUKESH RAJPUT,BJP
Lok Sabha,2014,PUNJAB,471,808,FATEHGARH SAHIB,SC,73.8,HARINDER SINGH KHALSA,AAP
Lok Sabha,2014,UTTAR PRADESH,354,663,FATEHPUR,GEN,58.55,SADHVI NIRANJAN JYOTI,BJP
Lok Sabha,2014,UTTAR PRADESH,427,723,FATEHPUR SIKRI,GEN,61.24,BABU LAL,BJP
Lok Sabha,2014,UTTAR PRADESH,428,732,FIROZABAD,GEN,67.49,AKSHAY YADAV,SP
Lok Sabha,2014,PUNJAB,387,811,FIROZPUR,GEN,72.62,SHER SINGH GHUBAYA,SAD
Lok Sabha,2014,MAHARASHTRA,69,489,GADCHIROLI-CHIMUR,ST,69.88,ASHOK MAHADEORAO NETE,BJP
Lok Sabha,2014,GUJARAT,271,554,GANDHINAGAR,GEN,65.49,LAL KRISHNA ADVANI,BJP
Lok Sabha,2014,RAJASTHAN,391,113,GANGANAGAR,SC,73.14,NIHALCHAND,BJP
Lok Sabha,2014,UTTARAKHAND,538,809,GARHWAL,GEN,53.74,MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),BJP
Lok Sabha,2014,ASSAM,165,674,GAUHATI,GEN,78.64,BIJOYA CHAKRAVARTY,BJP
Lok Sabha,2014,UTTAR PRADESH,421,765,GAUTAM BUDHHA NAGAR,GEN,60.38,MAHESH SHARMA,BJP
Lok Sabha,2014,BIHAR,38,605,GAYA,SC,53.93,HARI MANJHI,BJP
Lok Sabha,2014,WEST BENGAL,365,530,GHATAL,GEN,84.86,DEEPAK ADHIKARI (DEV),AITC
Lok Sabha,2014,UTTAR PRADESH,420,774,GHAZIABAD,GEN,56.94,VIJAY KUMAR SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,101,645,GHAZIPUR,GEN,54.77,MANOJ SINHA,BJP
Lok Sabha,2014,UTTAR PRADESH,97,665,GHOSI,GEN,54.98,HARINARAYAN RAJBHAR,BJP
Lok Sabha,2014,JHARKHAND,260,583,GIRIDIH,GEN,64.02,RAVINDRA KUMAR PANDEY,BJP
Lok Sabha,2014,JHARKHAND,259,611,GODDA,GEN,65.98,NISHIKANT DUBEY,BJP
Lok Sabha,2014,UTTAR PRADESH,251,727,GONDA,GEN,51.07,KIRTI VARDHAN SINGH  ALIAS RAJA BHAIYA,BJP
Lok Sabha,2014,BIHAR,28,688,GOPALGANJ,SC,54.67,JANAK RAM,BJP
Lok Sabha,2014,UTTAR PRADESH,91,718,GORAKHPUR,GEN,54.62,YOGI ADITYANATH,BJP
Lok Sabha,2014,KARNATAKA,128,414,GULBARGA,SC,57.94,MALLIKARJUN KHARGE,INC
Lok Sabha,2014,MADHYA PRADESH,318,626,GUNA,GEN,60.83,JYOTIRADITYA MADHAVRAO SCINDIA,INC
Lok Sabha,2014,ANDHRA PRADESH,149,391,GUNTUR,GEN,79.19,JAYADEV GALLA,TDP
Lok Sabha,2014,PUNJAB,464,820,GURDASPUR,GEN,69.5,VINOD KHANNA,BJP
Lok Sabha,2014,HARYANA,384,762,GURGAON,GEN,71.55,INDERJIT SINGH,BJP
Lok Sabha,2014,MADHYA PRADESH,317,668,GWALIOR,GEN,52.79,NARENDRA SIGH TOMAR,BJP
Lok Sabha,2014,BIHAR,183,651,HAJIPUR,SC,54.85,RAM VILAS PASWAN,LJP
Lok Sabha,2014,HIMACHAL PRADESH,460,819,HAMIRPUR,GEN,66.94,ANURAG SINGH THAKUR,BJP
Lok Sabha,2014,UTTAR PRADESH,353,660,HAMIRPUR,GEN,56.11,KUNWAR PUSHPENDRA SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,343,740,HARDOI,SC,56.75,ANSHUL VERMA,BJP
Lok Sabha,2014,UTTARAKHAND,541,799,HARDWAR,GEN,71.56,RAMESH POKHARIYAL NISHANK,BJP
Lok Sabha,2014,KARNATAKA,298,365,HASSAN,GEN,73.47,H.D. DEVEGOWDA,JD(S)
Lok Sabha,2014,UTTAR PRADESH,424,749,HATHRAS,SC,59.65,RAJESH KUMAR,BJP
Lok Sabha,2014,MAHARASHTRA,226,404,HATKANANGLE,GEN,72.91,RAJU SHETTY,Swabhimani Paksha
Lok Sabha,2014,KARNATAKA,293,383,HAVERI,GEN,71.59,UDASI SHIVAKUMAR CHANNABASAPPA,BJP
Lok Sabha,2014,JHARKHAND,122,591,HAZARIBAGH,GEN,63.68,JAYANT SINHA,BJP
Lok Sabha,2014,ANDHRA PRADESH,156,373,HINDUPUR,GEN,81.39,KRISTAPPA NIMMALA,TDP
Lok Sabha,2014,MAHARASHTRA,72,460,HINGOLI,GEN,66.27,RAJEEV SHANKARRAO SATAV,INC
Lok Sabha,2014,HARYANA,379,789,HISAR,GEN,76.17,DUSHYANT CHAUTALA,INLD
Lok Sabha,2014,WEST BENGAL,442,548,HOOGHLY,GEN,82.75,DR. RATNA DE (NAG),AITC
Lok Sabha,2014,MADHYA PRADESH,198,551,HOSHANGABAD,GEN,65.76,UDAY PRATAP SINGH,BJP
Lok Sabha,2014,PUNJAB,468,818,HOSHIARPUR,SC,64.72,VIJAY SAMPLA,BJP
Lok Sabha,2014,WEST BENGAL,439,525,HOWRAH,GEN,74.77,PRASUN BANERJEE,AITC
Lok Sabha,2014,ANDHRA PRADESH,9,406,HYDERABAD,GEN,53.27,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
Lok Sabha,2014,KERALA,54,312,IDUKKI,GEN,70.75,ADV. JOICE GEORGE,IND
Lok Sabha,2014,MADHYA PRADESH,328,544,INDORE,GEN,62.25,SUMITRA MAHAJAN,BJP
Lok Sabha,2014,MANIPUR,265,604,INNER MANIPUR,GEN,74.92,DR. THOKCHOM MEINYA,INC
Lok Sabha,2014,MADHYA PRADESH,194,562,JABALPUR,GEN,58.55,RAKESH SINGH ALIAS GHANSHYAM SINGH,BJP
Lok Sabha,2014,WEST BENGAL,534,522,JADAVPUR,GEN,79.73,SUGATA BOSE,AITC
Lok Sabha,2014,ORISSA,235,466,JAGATSINGHPUR,SC,75.48,KULAMANI SAMAL,BJD
Lok Sabha,2014,BIHAR,36,620,JAHANABAD,GEN,57.02,DR. ARUN KUMAR,Rashtriya Lok Samta Party
Lok Sabha,2014,RAJASTHAN,397,710,JAIPUR,GEN,66.24,RAMCHARAN BOHARA,BJP
Lok Sabha,2014,RAJASTHAN,396,743,JAIPUR RURAL,GEN,59.65,RAJYAVARDHAN SINGH RATHORE,BJP
Lok Sabha,2014,ORISSA,231,478,JAJPUR,SC,75.2,RITA TARAI,BJD
Lok Sabha,2014,PUNJAB,467,815,JALANDHAR,SC,67.08,SANTOKH SINGH CHAUDHARY,INC
Lok Sabha,2014,UTTAR PRADESH,351,675,JALAUN,SC,58.27,BHANU PRATAP SINGH VARMA,BJP
