"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"1836",54,"LALGANJ","GEN",95097,59601,10745,6,1,"M","INC",30749,"DEEP NARAIN SINGH","H",0.626739013849017,0.180282210030033
"1842",55,"PARU","GEN",102883,61206,12745,4,1,"M","SSP",34406,"SHEO SHARAN SINGH","H",0.59490877987617,0.20823121916152
"1846",56,"SAHEBGANJ","GEN",101960,57826,16373,4,1,"M","INC",30555,"NAWAL KISHORE SINGH","",0.5671439780306,0.2831425310414
"1850",57,"BARURAJ","GEN",98515,54667,2019,5,1,"M","IND",26370,"SHUKHDEO GIRI","H",0.554910419733036,0.0369327016298681
"1855",58,"KANTI","GEN",89550,55506,31034,5,1,"M","INC",37693,"MAHESH PRASAD SINGH","",0.619832495812395,0.559110726768277
"1860",59,"KURHANI","GEN",91195,57176,3164,8,1,"M","INC",21251,"KRISHNA NANDAN SAHAY","H",0.626964197598553,0.0553379040156709
"1868",60,"SAKRA","SC",95999,52598,4397,6,1,"M","SSP",19054,"NEWA LAL MAHTO","H",0.547901540641048,0.0835963344613864
"1874",61,"MUZAFFARPUR","GEN",78634,47736,1617,4,1,"M","INC",15893,"MOHAN LAL GUPTA","H",0.607065645903808,0.0338738059326295
"1878",62,"BOCHAHA","SC",81767,41157,6122,6,1,"M","SSP",18049,"SITARAM RAJAK","H",0.503344870179901,0.148747479165148
"1884",63,"GAIGHATTI","GEN",91151,61551,3559,4,1,"M","INC",27116,"NITISHWAR PRASAD SINGH","H",0.675264122170903,0.0578219687738623
"1888",64,"AURAI","GEN",94145,61048,4036,6,1,"M","INC",21214,"CHANDRA MADHAV PRASAD SINGH","",0.648446545222795,0.066111911938147
"1894",65,"MINAPUR","GEN",99534,66234,395,6,1,"M","SSP",28950,"MAHANTH RAM KISHORE DAS","",0.665440954849599,0.00596370444182746
"1900",66,"RUNISAIDPUR","GEN",93936,61885,1402,7,1,"M","INC",24313,"VIVEKANAND GIRI","H",0.65879960824391,0.0226549244566535
"1907",67,"SITAMARHI","GEN",97555,58532,6062,6,1,"M","INC",19203,"KISHORE LAL SAHI","H",0.599989749372149,0.103567279436889
"1913",68,"BATHNAHA","GEN",101086,73236,14199,6,1,"M","SSP",32505,"MOHAN LAL SHARMA","",0.724492016698653,0.193880058987383
"1919",69,"BELSAND","GEN",88771,52292,13859,5,1,"M","INC",27550,"CHANDESHWAR NARAIN PRASAD SINGH","",0.589066249112886,0.2650309798822
"1924",70,"SHEDHAR","GEN",87848,51401,1841,6,1,"M","IND",17644,"THAKUR GIRIJANANDAN SINGH","H",0.585112922320372,0.0358164238049843
"1930",71,"MAJORGANJ","SC",85585,58783,20266,5,1,"M","SSP",34174,"RAMBRIKSH RAM","H",0.686837646783899,0.344759539322593
"1935",72,"SONBARSA","GEN",96777,73610,17048,6,1,"M","IND",29709,"RAMANAND RAI","H",0.76061460884301,0.231598967531585
"1941",73,"SURSAND","GEN",95839,60010,15649,3,1,"F","INC",34307,"PRATIBHA DEVI","",0.626154279573034,0.260773204465922
"1944",74,"PUPRI","GEN",105058,55982,7844,6,1,"M","INC",23552,"NASIRUDDIN HAIDAR KHAN","M",0.532867558872242,0.140116466006931
"1950",75,"BENIPATTI","GEN",94916,51521,3013,9,1,"M","CPI",17172,"TEJ NARAIN JHA","H",0.542806270807872,0.0584810077444149
"1959",76,"BISFI","GEN",99026,58921,10038,8,1,"M","CPI",22514,"RAJ KUMAR PURBEY","H",0.595005352129744,0.170363707336943
"1967",77,"HARLAKHI","GEN",88128,47811,7094,5,1,"M","CPI",19281,"BAIDYANATH YADAV","H",0.542517701525055,0.148375896760160
"1972",78,"KHAJAULI","GEN",84716,52336,4386,7,1,"M","PSP",19586,"NARMADESHWAR SINGH AZAD","H",0.617781764955852,0.0838046468969734
"1979",79,"JAINAGAR","SC",84834,40721,6347,5,1,"M","INC",17668,"RAMPHAL PASWAN","H",0.480008015654101,0.155865523931141
"1984",80,"MADHUBANI","GEN",91417,52086,573,7,1,"M","INC",13941,"SAFIQULLAH ANSARI","M",0.569762735596224,0.0110010367469186
"1991",81,"JHANJHARPUR","GEN",83041,50888,2691,7,1,"M","INC",19923,"HARINATH MISHRA","H",0.61280572247444,0.0528808363464864
"1998",82,"RAJNAGAR","SC",95066,44239,7280,6,1,"M","INC",17016,"RAM KRISHNA MAHTO","H",0.46535038815139,0.164560681751396
"2004",83,"PHULPARAS","GEN",89810,61202,15384,5,1,"M","SSP",32678,"DHANIK LAL MANDAL","H",0.681460861819396,0.251364334498873
"2009",84,"LAUKAHA","GEN",83086,50344,4131,9,1,"M","INC",13024,"SUKHDEO SAHU","H",0.605926389524108,0.0820554584458923
"2018",85,"MADHEPUR","GEN",92912,62600,11296,7,1,"M","SSP",24357,"BASUDEO PRASAD MAHTO","H",0.673755811951093,0.180447284345048
"2025",86,"BIRAUL","GEN",94803,54100,3934,8,1,"M","SSP",21096,"MAHABIR PRASAD","H",0.570657046717931,0.07271719038817
"2033",87,"BAHERI","GEN",94857,63227,6274,9,1,"M","SSP",19712,"BASHISHTH NARAYAN SINGH","H",0.6665507026366,0.0992297594382147
"2042",88,"MANIGACHHI","GEN",105325,59973,4970,8,1,"M","INC",15817,"NAGENDRA JHA","H",0.569408972228816,0.0828706251146349
"2050",89,"BENIPUR","GEN",92919,60093,22415,4,1,"M","INC",37232,"BINODANAND JHA","H",0.64672456655797,0.3730051753116
"2054",90,"DARBHANGA","GEN",96701,57464,1069,7,1,"M","INC",19325,"RAM ISHWAR SINGH","H",0.594244113297691,0.0186029514130586
"2061",91,"KEOTIRANWAY","GEN",100156,60080,278,9,1,"M","SSP",17131,"HUKUMDEO NARAYAN YADAV","H",0.599864211829546,0.0046271637816245
"2070",92,"JALE","GEN",101018,61982,5677,6,1,"M","CPI",19437,"KHADIM HUSSAIN","M",0.613573818527391,0.0915911070956084
"2076",93,"HAYAGHAT","SC",99037,48676,10356,6,1,"M","INC",24323,"BALESHWAR RAM","H",0.491493078344457,0.212753718464952
"2082",94,"KALYANPUR","GEN",80424,52407,4732,7,1,"M","SSP",23050,"BRAHMADEO NARAYAN SINGH","",0.651633840644584,0.0902932814318698
"2089",95,"WARISNAGAR","SC",79169,45293,2335,5,1,"M","SSP",19349,"RAM SEWAK HAZARI","H",0.572105243213884,0.0515532201443932
"2094",96,"SAMASTIPUR","GEN",80702,49702,3938,5,1,"M","SSP",20976,"RAJENDRA NARAYAN SHARMA","",0.615870734306461,0.07923222405537
"2099",97,"TAJPUR","GEN",85709,50341,16462,5,1,"M","SSP",28023,"KARPOORI THAKUR","H",0.587347886452998,0.327009793210306
"2104",98,"MOHIUDDINNAGAR","GEN",91724,51892,2485,7,1,"F","SSP",14564,"PREMLATA RAJ","H",0.565740700361955,0.0478879210668311
"2111",99,"DALSINGHSARAI","GEN",80597,40674,8894,5,1,"M","SWA",16292,"YASHWANT KUMAR CHAUDHARI","",0.504658982344256,0.218665486551605
"2116",100,"SARAIRANJAN","GEN",86820,45449,7707,5,1,"M","SSP",17150,"RAM VILAS MISHRA","H",0.523485372034094,0.169574688111950
"2121",101,"BIBHUTPUR","GEN",87685,53364,2307,6,1,"M","CPI",17120,"PARMANAND SINGH MADAN","H",0.608587557735074,0.043231391949629
"2127",102,"ROSERA","GEN",89341,58128,5095,6,1,"M","SSP",23082,"RAMAKANT JHA","H",0.650630729452323,0.0876513900357831
"2133",103,"HASANPUR","GEN",83667,49285,15264,5,1,"M","SSP",27297,"GAJENDRA PRASAD HIMANSHU","H",0.58906139816176,0.309708836359947
"2138",104,"SINGHIA","SC",83455,33270,222,6,1,"M","INC",8852,"S. KUMARI","H",0.398657959379306,0.0066726780883679
"2144",105,"RAGHOPUR_2","GEN",80027,45452,4049,3,1,"M","SSP",21967,"ASHESHWAR GOET","H",0.567958314069002,0.0890829886473642
"2147",106,"KISHUNPUR","GEN",98527,57148,4353,4,1,"M","SSP",27033,"VINAYAK PRASAD YADAV","H",0.58002374983507,0.0761706446419822
"2151",107,"SUPAUL","GEN",72344,44117,2934,9,1,"M","INC",14465,"UMA SHANKAR SINGH","H",0.609822514652217,0.066504975406306
"2160",108,"TRIBENIGANJ","GEN",79942,46511,7589,3,1,"M","SSP",23808,"ANUP LAL YADAV","H",0.58180931175102,0.163165702736987
"2163",109,"CHHATAPUR","SC",76066,27899,3786,6,1,"M","SSP",12864,"KUNJI LAL SARDAR","H",0.366773591354876,0.135703788666260
"2169",110,"KUMARKHAND","GEN",77695,44667,3830,6,1,"M","SSP",16222,"JAI KUMAR SINGH","H",0.57490185983654,0.0857456287639645
"2175",111,"SIMRI BAKHTIARPUR","GEN",93479,64421,8997,3,1,"M","INC",32975,"CHAUDHARY MOHAMMAD SALAUDDIN","M",0.689149434632377,0.13965942782633
"2178",112,"MAHISHI","GEN",90277,55848,8341,9,1,"M","SSP",19335,"PARMESHWAR KUNWAR","H",0.61862932972961,0.149351812061309
"2187",113,"SAHARSA","GEN",100885,56108,4200,10,1,"M","INC",23472,"RAMESH JHA","H",0.556158001685087,0.0748556355599914
"2197",114,"SONBARSA (SC)","SC",94873,46927,918,6,1,"M","INC",15621,"Y. DEVI","H",0.494629662812391,0.0195622988897650
"2203",115,"MADHEPURA","GEN",89322,51004,14753,5,1,"M","SSP",27251,"MAHABIR PRASAD YADAV","H",0.571012740422292,0.289251823386401
"2208",116,"MURLIGANJ","GEN",98202,47821,697,10,1,"M","PSP",11179,"SHASHINATH JHA","H",0.486965642247612,0.0145751866334874
"2218",117,"ALAMNAGAR","GEN",95665,56829,8609,6,1,"M","INC",23336,"VIDYAKAR KAVI","H",0.594041708043694,0.151489556388464
"2224",118,"RUPAULI","GEN",87007,45606,6063,13,1,"M","CPI",11227,"CHHABINATH SHARMA","H",0.524164722378659,0.132943033811341
"2237",119,"DHAMDAHA","GEN",82491,48739,1801,6,1,"M","INC",19672,"LAKSHMI NARAIN SUDHANSHU","H",0.590840212871707,0.0369519276144361
"2243",120,"BANMANKHI","SC",83310,32813,6236,6,1,"M","INC",12738,"BALDEO SHARAF","H",0.393866282559117,0.190046627860909
"2249",121,"KASBA","GEN",80948,40721,3909,11,1,"M","INC",10788,"RAM NARAYAN MANDAL","H",0.503051341602016,0.095994695611601
"2260",122,"RANIGANJ","SC",75034,37292,7801,8,1,"M","INC",18274,"DUMAR LAL BAITHA","H",0.497001359383746,0.209186956988094
"2268",123,"NARPATGANJ","GEN",79772,46694,10758,7,1,"M","INC",18926,"SATYA NARAYAN YADAV","H",0.585343228200371,0.23039362659014
"2275",124,"FORBESGANJ","GEN",80670,52688,14611,10,1,"M","INC",23350,"SARYUG MISHRA","H",0.653130035948928,0.277311721834194
"2285",125,"ARARIA","GEN",74957,46289,5560,6,1,"M","INC",15151,"SHITAL PRASAD GUPTA","H",0.617540723348053,0.120114930112986
"2291",126,"PALASI","GEN",83582,46142,4339,9,1,"M","IND",12580,"MOHAMMAD AZIMUDDIN","M",0.552056662917853,0.0940358025226475
"2300",127,"BAHADURGANJ","GEN",73638,25569,2516,5,1,"M","PSP",9959,"DILIP NARAYAN JHA","H",0.347225617208506,0.0984004067425398
"2305",128,"THAKURGANJ","GEN",78047,26127,3004,5,1,"M","INC",10810,"MOHAMMAD HUSAIN AZAD","M",0.33475982420849,0.114976843877981
"2310",129,"KISHANGANJ","GEN",70894,30245,11613,7,1,"F","PSP",16207,"SUSHILA KAPOOR","H",0.426622845374785,0.383964291618449
"2317",130,"JOKIHAT","GEN",76756,39556,2344,6,1,"M","PSP",11188," NAZAMUDDIN","M",0.515347334410339,0.0592577611487511
"2323",131,"AMOUR","GEN",81591,40717,9977,5,1,"M","PSP",17495,"HASIBUR RAHMAN","M",0.499037884080352,0.245032787287865
"2328",132,"PURNIA","GEN",83969,45865,3998,9,1,"M","INC",14754,"KAMAL DEO NARAYAN SINHA","",0.5462134835475,0.0871688651477161
"2337",133,"KATIHAR","GEN",86790,52324,7720,10,1,"M","BJS",15535,"JAGBANDHU ADHIKARI","H",0.602880516188501,0.147542236832046
"2347",134,"BARSOI","GEN",71159,33158,107,6,1,"M","IND",9362,"SOHAN LAL JAIN","H",0.465970572942284,0.00322697388262259
"2353",135,"AZAMNAGAR","GEN",83904,36406,3039,8,1,"M","INC",12727,"ABOO ZAFAR","M",0.433900648360031,0.083475251332198
"2361",136,"KORHA","SC",78424,35756,12042,6,1,"M","INC",16247,"BHOLA PASWAN SHASTRI","H",0.455931857594614,0.336782637878957
"2367",137,"BARARI","GEN",80457,37374,864,8,1,"M","INC",7883,"BASUDEO PRASAD SINGH","H",0.464521421380365,0.0231176753893081
"2375",138,"MANIHARI","GEN",81758,39475,8157,7,1,"M","PSP",18530,"YUVRAJ","",0.482827368575552,0.206637112096263
"2382",139,"RAJMAHAL","GEN",77738,43931,6957,8,1,"M","SWA",19478,"NATHMAL DOKANIYA","H",0.56511615940724,0.158361976736245
"2390",140,"BORIO","ST",83654,21266,589,5,1,"M","SWA",6100,"JETHA KISHU","H",0.254213785353958,0.0276967930029155
"2395",141,"BARHAIT","GEN",74039,21775,6442,6,1,"M","IND",10521,"MASHIH SOREN","",0.294101757182026,0.295843857634902
"2401",142,"LITIPARA","ST",72490,18980,1775,7,1,"M","IND",6113,"BHAGWAT MURMU","H",0.261829217823148,0.0935194942044257
"2408",143,"PAKAUR","GEN",72181,28890,2221,7,1,"M","BJS",8924,"BADRIKANATH JHA","H",0.400243831479198,0.0768778123918311
"2415",144,"MAHESHPUR","ST",74480,21496,3183,3,1,"M","IND",9126,"PAUL HANSDA","H",0.288614393125671,0.148074060290287
"2418",145,"SIKARIPARA","ST",86164,24996,3674,3,1,"M","INC",12172,"BARIYAR HEMBROM","H",0.290097952741284,0.146983517362778
"2421",146,"NALA","GEN",87891,28757,4466,6,1,"M","CPI",12890,"BISHESHWAR KHAN","M",0.327189359547621,0.155301317939980
"2427",147,"JAMTARA","GEN",76739,30250,579,8,1,"M","CPI",10536,"SHATRUGHAN BESRA","H",0.394193304577855,0.0191404958677686
"2435",148,"SARATH","GEN",85699,38274,4638,7,1,"M","INC",13848,"NALINI KUMAR SINGH","H",0.446609645386761,0.121178868161154
"2442",149,"MADHUPUR","GEN",87977,42154,5139,7,1,"M","BJS",17913,"AJIT KUMAR BANERJEE","H",0.479147959125681,0.121910139014091
