"State","Year","","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent" 
"Bihar","1962","432",101,"TAJPUR","GEN",73650,40231,18157,4,1,"M","PSP",25924,"KARPOORI THAKUR","H",0.546245756958588,0.451318634883548  
"Bihar","1962","436",102,"MOHIUDDINNAGAR","GEN",71666,36239,6258,6,1,"F","INC",14323,"SHANTI DEVI","H",0.505665168978316,0.172686884295924  
"Bihar","1962","442",103,"DALSINGH SARAI WEST","SC",52847,26653,11475,3,1,"M","INC",17379,"BALESHWAR RAM","H",0.504342725225651,0.430533148238472  
"Bihar","1962","445",104,"DALSINGH SARAI EAST","GEN",59534,30404,3282,4,1,"M","INC",14257,"MISHRI SINGH","H",0.510699768199684,0.107946322852256  
"Bihar","1962","449",105,"ROSERA","GEN",65332,33461,12318,3,1,"M","PSP",19928,"RAMAKANT JHA","H",0.512168615686034,0.368130061863064  
"Bihar","1962","452",106,"ROSERA EAST","GEN",61343,29106,11036,7,1,"M","INC",15417,"MAHABIR RAUT","H",0.47447956572062,0.379165807737236  
"Bihar","1962","459",107,"SINGHIA","SC",64481,19638,8446,4,1,"M","INC",11825,"BABU LAL MAHTO","H",0.304554830104992,0.430084529992871  
"Bihar","1962","463",108,"SUPAUL","GEN",101212,59292,1559,5,1,"M","PSP",25404,"PARMESHWAR KUMAR","H",0.585819863257321,0.0262935977872226  
"Bihar","1962","468",109,"KISHUNPUR","GEN",105196,49861,1945,4,1,"M","INC",19215,"BAIDYANATH MEHTA","H",0.473981900452489,0.0390084434728545  
"Bihar","1962","472",110,"RAGHOPUR_2","GEN",57837,29578,2139,4,1,"M","INC",13519,"RAJENDRA MISHRA","H",0.511402735273268,0.0723172628304821  
"Bihar","1962","476",111,"TRIBENIGANJ","GEN",52941,22698,1211,4,1,"M","INC",9603,"KHUB LAL MAHTO","H",0.428741429138097,0.0533527183011719  
"Bihar","1962","480",112,"SINGHESWARSTHAN","SC",50047,21129,2221,3,1,"M","SOC",10280,"RAMJI MUSAHAR","H",0.422183147841029,0.105116191017086  
"Bihar","1962","483",113,"MURLIGANJ","GEN",66476,34859,3397,4,1,"M","SOC",15664,"JAI KUMAR SINGH","H",0.524384740357422,0.0974497260391864  
"Bihar","1962","487",114,"MADHEPURA","GEN",75115,36762,14944,2,1,"M","INC",24451,"BINDESHWARI PRASAD MANDAL","H",0.489409571989616,0.406506718894511  
"Bihar","1962","489",115,"SAHARSA","GEN",85646,46757,19524,5,1,"M","PSP",26810,"RAMESH JHA","H",0.545933260163931,0.417563145625254  
"Bihar","1962","494",116,"SONABARSA","GEN",58006,28034,3903,6,1,"M","SWA",11678,"SURESH CHANDRA YADAV","H",0.483294831569148,0.139223799671827  
"Bihar","1962","500",117,"KISHANGANJ_1","SC",61891,21123,5809,7,1,"F","INC",10244,"YASHODA DEVI","H",0.341293564492414,0.275008284808029  
"Bihar","1962","507",118,"ALAMNAGAR","GEN",68335,33563,2933,7,1,"M","INC",10796,"YADUNANDAN JHA","H",0.491153874295749,0.0873878973870035  
"Bihar","1962","514",119,"RUPAULI","GEN",79656,41846,15275,5,1,"M","INC",21450,"BRIJ BIHARI SINGH","H",0.525333935924475,0.365028915547484  
"Bihar","1962","519",120,"DHAMDAHA","GEN",70178,34042,11469,6,1,"M","INC",18383,"LAKSHMI NARAIN SUDHANSHU","H",0.485080794550999,0.336907349744433  
"Bihar","1962","525",121,"BANMANKHI","SC",71542,30272,21328,3,1,"M","INC",24367,"BHOLA PASWAN","H",0.42313605993682,0.704545454545455  
"Bihar","1962","528",122,"RANIGANJ","GEN",89399,36676,574,3,1,"M","IND",13575,"GANESHLAL VERMA","H",0.410250673944899,0.0156505616752099  
"Bihar","1962","531",123,"NARPATGANJ","SC",67722,25843,12067,4,1,"M","INC",16040,"DUMAR LAL BAITHA","H",0.381604205428074,0.466934953372287  
"Bihar","1962","535",124,"FORBESGANJ","GEN",81655,43175,4715,4,1,"M","PSP",19537,"SARYU MISHRA","H",0.528749004959892,0.109206716850029  
