Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,768,EAST DELHI,GEN,3,SANDEEP DIKSHIT,INC,17
Lok Sabha,2014,ANDHRA PRADESH,409,ELURU,GEN,3,MUSUNURI NAGESWARA RAO,INC,1
Lok Sabha,2014,KERALA,316,ERNAKULAM,GEN,1,K.V. THOMAS,INC,42
Lok Sabha,2014,TAMIL NADU,332,ERODE,GEN,4,GOPI P,INC,3
Lok Sabha,2014,UTTAR PRADESH,700,ETAWAH,SC,4,HANSH MUKHI,INC,1
Lok Sabha,2014,UTTAR PRADESH,712,FAIZABAD,GEN,4,DR. NIRMAL KHATRI,INC,13
Lok Sabha,2014,HARYANA,759,FARIDABAD,GEN,2,AVTAR SINGH BHADANA,INC,16
Lok Sabha,2014,PUNJAB,810,FARIDKOT,SC,3,JOGINDER SINGH,INC,24
Lok Sabha,2014,UTTAR PRADESH,739,FARRUKHABAD,GEN,4,SALMAN KHURSHEED,INC,10
Lok Sabha,2014,PUNJAB,808,FATEHGARH SAHIB,SC,2,SADHU SINGH,INC,30
Lok Sabha,2014,UTTAR PRADESH,663,FATEHPUR,GEN,4,USHA MAURYA,INC,4
Lok Sabha,2014,UTTAR PRADESH,732,FIROZABAD,GEN,4,ATUL CHATURVEDI,INC,1
Lok Sabha,2014,PUNJAB,811,FIROZPUR,GEN,2,SUNIL JAKHAR,INC,41
Lok Sabha,2014,MAHARASHTRA,489,GADCHIROLI-CHIMUR,ST,2,DR. NAMDEO DALLUJI USENDI,INC,29
Lok Sabha,2014,GUJARAT,554,GANDHINAGAR,GEN,2,PATEL KIRITBHAI ISHVARBHAI,INC,26
Lok Sabha,2014,RAJASTHAN,113,GANGANAGAR,SC,2,BHANWARLAL MEGHWAL,INC,29
Lok Sabha,2014,UTTARAKHAND,809,GARHWAL,GEN,2,HARAK SINGH RAWAT,INC,32
Lok Sabha,2014,ASSAM,674,GAUHATI,GEN,2,SHRI MANASH BORAH,INC,30
Lok Sabha,2014,UTTAR PRADESH,765,GAUTAM BUDHHA NAGAR,GEN,5,RAMESH CHAND TOMAR,INC,1
Lok Sabha,2014,WEST BENGAL,530,GHATAL,GEN,3,MANAS RANJAN BHUNIA,INC,9
Lok Sabha,2014,UTTAR PRADESH,774,GHAZIABAD,GEN,2,RAJ BABBAR,INC,14
