Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,CHHATTISGARH,456,BASTAR,ST,1,DINESH KASHYAP,BJP,50
Lok Sabha,2014,CHHATTISGARH,476,KANKER,ST,1,VIKRAM USENDI,BJP,46
Lok Sabha,2014,DADRA & NAGAR HAVELI,465,DADRA & NAGAR HAVELI,ST,1,NATUBHAI G. PATEL,BJP,49
Lok Sabha,2014,DAMAN & DIU,170,DAMAN & DIU,GEN,1,PATEL LALUBHAI BABUBHAI,BJP,54
Lok Sabha,2014,GOA,382,NORTH GOA,GEN,1,SHRIPAD YESSO NAIK,BJP,59
Lok Sabha,2014,GOA,380,SOUTH GOA,GEN,1,ADV. NARENDRA KESHAV SAWAIKAR,BJP,48
Lok Sabha,2014,GUJARAT,161,KACHCHH,SC,1,CHAVDA VINOD LAKHMASHI,BJP,59
Lok Sabha,2014,GUJARAT,599,BANASKANTHA,GEN,1,CHAUDHARY HARIBHAI PARTHIBHAI,BJP,57
Lok Sabha,2014,GUJARAT,584,PATAN,GEN,1,LILADHARBHAI KHODAJI VAGHELA,BJP,54
Lok Sabha,2014,GUJARAT,571,MAHESANA,GEN,1,PATEL JAYSHREEBEN KANUBHAI,BJP,58
Lok Sabha,2014,GUJARAT,587,SABARKANTHA,GEN,1,DIPSINH SHANKARSINH RATHOD,BJP,50
Lok Sabha,2014,GUJARAT,554,GANDHINAGAR,GEN,1,LAL KRISHNA ADVANI,BJP,68
Lok Sabha,2014,GUJARAT,555,AHMEDABAD EAST,GEN,1,PARESH DAHYALAL RAWAL,BJP,64
Lok Sabha,2014,GUJARAT,543,AHMEDABAD WEST,SC,1,DR. SOLANKI KIRITBHAI PREMJIBHAI,BJP,64
Lok Sabha,2014,GUJARAT,559,SURENDRANAGAR,GEN,1,FATEPARA DEVAJIBHAI GOVINDBHAI,BJP,56
Lok Sabha,2014,GUJARAT,539,RAJKOT,GEN,1,MOHANBHAI KALYANJIBHAI KUNDARIYA,BJP,59
Lok Sabha,2014,GUJARAT,504,PORBANDAR,GEN,1,VITTHALBHAI HANSRAJBHAI RADADIYA,BJP,63
Lok Sabha,2014,GUJARAT,538,JAMNAGAR,GEN,1,MADAM POONAMBEN HEMATBHAI,BJP,57
Lok Sabha,2014,GUJARAT,495,JUNAGADH,GEN,1,CHUDASAMA RAJESHBHAI NARANBHAI,BJP,55
Lok Sabha,2014,GUJARAT,503,AMRELI,GEN,1,KACHHADIA NARANBHAI BHIKHABHAI,BJP,54
Lok Sabha,2014,GUJARAT,510,BHAVNAGAR,GEN,1,DR. BHARTIBEN DHIRUBHAI SHIYAL,BJP,60
Lok Sabha,2014,GUJARAT,526,ANAND,GEN,1,PATEL DILIPBHAI MANIBHAI,BJP,51
Lok Sabha,2014,GUJARAT,547,KHEDA,GEN,1,CHAUHAN DEVUSINH JESINGBHAI,BJP,60
Lok Sabha,2014,GUJARAT,557,PANCHMAHAL,GEN,1,CHAUHAN PRABHATSINH PRATAPSINH,BJP,54
Lok Sabha,2014,GUJARAT,556,DAHOD,ST,1,BHABHOR JASVANTSINH SUMANBHAI,BJP,57
Lok Sabha,2014,GUJARAT,532,VADODARA,GEN,1,NARENDRA MODI,BJP,73
Lok Sabha,2014,GUJARAT,520,CHHOTA UDAIPUR,ST,1,RATHWA RAMSINGBHAI PATALBHAI,BJP,55
Lok Sabha,2014,GUJARAT,508,BHARUCH,GEN,1,MANSUKHBHAI DHANJIBHAI VASAVA,BJP,52
Lok Sabha,2014,GUJARAT,491,BARDOLI,ST,1,PARBHUBHAI NAGARBHAI VASAVA,BJP,52
Lok Sabha,2014,GUJARAT,488,SURAT,GEN,1,JARDOSH DARSHNABEN VIKRAMBHAI,BJP,76
Lok Sabha,2014,GUJARAT,481,NAVSARI,GEN,1,CHANDRAKANT RAGHUNATH PATIL,BJP,71
Lok Sabha,2014,GUJARAT,166,VALSAD,ST,1,DR. K.C. PATEL,BJP,55
Lok Sabha,2014,HARYANA,806,AMBALA,SC,1,RATTAN LAL KATARIA,BJP,50
Lok Sabha,2014,HARYANA,798,KURUKSHETRA,GEN,1,RAJKUMAR SAINI,BJP,37
Lok Sabha,2014,HARYANA,796,KARNAL,GEN,1,ASHWINI KUMAR,BJP,50
Lok Sabha,2014,HARYANA,788,SONIPAT,GEN,1,RAMESH KAUSHIK,BJP,35
Lok Sabha,2014,HARYANA,782,ROHTAK,GEN,2,OM PRAKASH DHANKHAD,BJP,31
Lok Sabha,2014,HARYANA,778,BHIWANI-MAHENDRAGARH,GEN,1,DHARAMBIR,BJP,39
Lok Sabha,2014,HARYANA,762,GURGAON,GEN,1,INDERJIT SINGH,BJP,49
Lok Sabha,2014,HARYANA,759,FARIDABAD,GEN,1,KRISHAN PAL,BJP,58
Lok Sabha,2014,HIMACHAL PRADESH,821,KANGRA,GEN,1,SHANTA KUMAR,BJP,57
Lok Sabha,2014,HIMACHAL PRADESH,822,MANDI,GEN,1,RAM SWAROOP SHARMA,BJP,50
Lok Sabha,2014,HIMACHAL PRADESH,819,HAMIRPUR,GEN,1,ANURAG SINGH THAKUR,BJP,54
Lok Sabha,2014,HIMACHAL PRADESH,813,SHIMLA,SC,1,VIRENDER KASHYAP,BJP,52
Lok Sabha,2014,JAMMU & KASHMIR,823,JAMMU,GEN,1,JUGAL KISHORE SHARMA,BJP,49
